Entry	Entry name	Status	Protein names	Gene names	Organism	Length
B0Y0Q3	RHGB_ASPFC	reviewed	Probable rhamnogalacturonase B (RGase B) (RHG B) (EC 3.2.1.171)	rhgB AFUB_058150	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	521
Q0I1S1	RBSD_HAES1	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD HS_0223	Haemophilus somnus (strain 129Pt) (Histophilus somni)	139
P0AF20	NAGC_ECOLI	reviewed	N-acetylglucosamine repressor	nagC nagR b0676 JW0662	Escherichia coli (strain K12)	406
Q8HXW9	ODPA_MACFA	reviewed	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	PDHA1 QccE-20080	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	390
A1AGB6	NANK_ECOK1	reviewed	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	nanK Ecok1_32120 APECO1_3221	Escherichia coli O1:K1 / APEC	291
O25080	PGDAE_HELPY	reviewed	Peptidoglycan deacetylase (PG deacetylase) (EC 3.5.1.-) (Acetylxylan esterase) (EC 3.1.1.72)	pgdA HP_0310 C694_01565	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	293
Q7UU60	RBSD_RHOBA	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD RB3491	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	135
B7IGD0	RBSD_THEAB	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD THA_669	Thermosipho africanus (strain TCF52B)	128
C6DJR0	RHAM_PECCP	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM PC1_0417	Pectobacterium carotovorum subsp. carotovorum (strain PC1)	104
Q2QD12	RPEL1_HUMAN	reviewed	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)	RPEL1	Homo sapiens (Human)	228
P0AG09	RPE_ECO57	reviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	rpe Z4739 ECs4228	Escherichia coli O157:H7	225
C6BY79	RBSD_DESAD	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD Desal_2553	Desulfovibrio salexigens (strain ATCC 14822 / DSM 2638 / NCIB 8403 / VKM B-1763)	139
Q74J96	RBSD_LACJO	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD LJ_1214	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)	131
B1JHX8	GLGX_YERPY	reviewed	Glycogen debranching enzyme (EC 3.2.1.196) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)	glgX YPK_0148	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	662
Q8R8R6	GALT_CALS4	reviewed	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	galT TTE1929	Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) (Thermoanaerobacter tengcongensis)	519
Q0SZN3	GLGX_SHIF8	reviewed	Glycogen debranching enzyme (EC 3.2.1.196) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)	glgX SFV_3440	Shigella flexneri serotype 5b (strain 8401)	657
P94169	GAL1_ACTPL	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK	Actinobacillus pleuropneumoniae (Haemophilus pleuropneumoniae)	384
C0QZ84	HLDD_BRAHW	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD BHWA1_00678	Brachyspira hyodysenteriae (strain ATCC 49526 / WA1)	318
B1YV41	HLDD_BURA4	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD BamMC406_0933	Burkholderia ambifaria (strain MC40-6)	330
A3MHP7	HLDD_BURM7	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD BMA10247_0208	Burkholderia mallei (strain NCTC 10247)	330
P14250	GUN3_FIBSS	reviewed	Endoglucanase 3 (EC 3.2.1.4) (Cellulase 3) (Endo-1,4-beta-glucanase 3) (EG3)	cel-3 Fisuc_2230 FSU_2772	Fibrobacter succinogenes (strain ATCC 19169 / S85)	658
Q96TU3	INUE_ASPAW	reviewed	Extracellular exo-inulinase inuE (EC 3.2.1.80)	inuE inu1	Aspergillus awamori (Black koji mold)	537
P43316	GUN5_HUMIN	reviewed	Endoglucanase-5 (EC 3.2.1.4) (Cellulase V) (Endo-1,4-beta-glucanase V) (EG V) (Endoglucanase V)		Humicola insolens (Soft-rot fungus)	213
A0R758	LERK_MYCS2	reviewed	L-erythrulose 1-kinase (EC 2.7.1.209)	lerK MSMEG_6788 MSMEI_6605	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	571
Q8X9J0	KDSD_ECO57	reviewed	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	kdsD Z4560 ECs4076	Escherichia coli O157:H7	328
B2K8A2	NAGB_YERPB	reviewed	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB YPTS_1177	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	266
B7UPY3	NAGK_ECO27	reviewed	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	nagK E2348C_1211	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	303
Q15118	PDK1_HUMAN	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 1) (PDH kinase 1)	PDK1 PDHK1	Homo sapiens (Human)	436
B1IQQ7	NANK_ECOLC	reviewed	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	nanK EcolC_0484	Escherichia coli (strain ATCC 8739 / DSM 1576 / Crooks)	291
B6I1U0	NANK_ECOSE	reviewed	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	nanK ECSE_3501	Escherichia coli (strain SE11)	291
Q3L243	PDH2_LEUMG	reviewed	Pyranose dehydrogenase 2 (PDH 2) (EC 1.1.99.29) (Pyranose:quinone oxidoreductase 2)	pdh2	Leucoagaricus meleagris (Western flat-topped agaric) (Agaricus meleagris)	600
P53124	PCL10_YEAST	reviewed	PHO85 cyclin-10	PCL10 YGL134W G2838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	433
Q0R4L2	PDH3_LEUMG	reviewed	Pyranose dehydrogenase 3 (PDH 3) (EC 1.1.99.29) (Pyranose:quinone oxidoreductase 3)	pdh3	Leucoagaricus meleagris (Western flat-topped agaric) (Agaricus meleagris)	600
Q5HD61	PGCA_STAAC	reviewed	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Alpha-phosphoglucomutase) (Glucose phosphomutase)	pgcA SACOL2501	Staphylococcus aureus (strain COL)	552
A1SRU1	RBSD_PSYIN	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD Ping_0340	Psychromonas ingrahamii (strain 37)	138
B1LMU1	RHAM_ECOSM	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM EcSMS35_4292	Escherichia coli (strain SMS-3-5 / SECEC)	104
B1XB68	RHAM_ECODH	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM ECDH10B_4091	Escherichia coli (strain K12 / DH10B)	104
Q6ZY51	PWD_ARATH	reviewed	Phosphoglucan, water dikinase, chloroplastic (EC 2.7.9.5)	GWD3 OK1 PWD At5g26570 F9D12.1 F9D12.19	Arabidopsis thaliana (Mouse-ear cress)	1196
Q2UP32	RGXA_ASPOR	reviewed	Putative galacturan 1,4-alpha-galacturonidase A (EC 3.2.1.67) (Exopolygalacturonase A) (Exorhamnogalacturonase A) (Poly(1,4-alpha-D-galacturonide)galacturonohydrolase A)	rgxA AO090001000133	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	437
B4SZY8	RHAM_SALNS	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM SNSL254_A4326	Salmonella newport (strain SL254)	104
B5BJG3	RHAM_SALPK	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM SSPA3614	Salmonella paratyphi A (strain AKU_12601)	104
A6KWR4	RHAM_BACV8	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM BVU_0150	Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154)	104
A3N2W7	RBSD_ACTP2	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD APL_1669	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	139
B7JQF1	RBSD_BACC0	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD BCAH820_0723	Bacillus cereus (strain AH820)	131
P26414	GUNA_THEBI	reviewed	Endoglucanase A (EC 3.2.1.4) (Cellulase A) (Endo-1,4-beta-glucanase A)	celA	Thermobispora bispora (Microbispora bispora)	456
P28621	GUNB_CLOC7	reviewed	Endoglucanase B (EC 3.2.1.4) (Cellulase B) (Endo-1,4-beta-glucanase B) (Endo-1,4-beta-xylanase) (EC 3.2.1.8)	engB Clocel_1150	Clostridium cellulovorans (strain ATCC 35296 / DSM 3052 / OCM 3 / 743B)	440
P37700	GUNG_CLOCE	reviewed	Endoglucanase G (EC 3.2.1.4) (Cellulase G) (EGCCG) (Endo-1,4-beta-glucanase G)	celCCG Ccel_0731	Clostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10)	725
Q704D1	KDGA_THETE	reviewed	2-dehydro-3-deoxy-D-gluconate/2-dehydro-3-deoxy-phosphogluconate aldolase (KD(P)G aldolase) (EC 4.1.2.14) (EC 4.1.2.51)	kdgA	Thermoproteus tenax	306
C4L2C5	NAGB_EXISA	reviewed	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB EAT1b_2255	Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)	254
A9MJQ1	RBSD_SALAR	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD SARI_03768	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	139
D4GV73	R15PI_HALVD	reviewed	Ribose 1,5-bisphosphate isomerase (R15P isomerase) (R15Pi) (EC 5.3.1.29) (Ribulose 1,5-bisphosphate synthase) (RuBP synthase)	HVO_0966	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	323
P0A9J6	RBSK_ECOLI	reviewed	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731	Escherichia coli (strain K12)	309
A1DED1	RHGB_NEOFI	reviewed	Probable rhamnogalacturonase B (RGase B) (RHG B) (EC 3.2.1.171)	rhgB NFIA_076680	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	516
Q8FBE2	RHAM_ECOL6	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM c4850	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	104
Q28P47	RHAM_JANSC	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM Jann_2598	Jannaschia sp. (strain CCS1)	104
B5XZ60	RHAM_KLEP3	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM KPK_5476	Klebsiella pneumoniae (strain 342)	104
A9KN28	RHAM_LACP7	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM Cphy_1149	Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans)	104
A9QYS5	RHAM_YERPG	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM YpAngola_A0748	Yersinia pestis bv. Antiqua (strain Angola)	104
B2GEJ1	RBSD_LACF3	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD LAF_1737	Lactobacillus fermentum (strain NBRC 3956 / LMG 18251)	131
Q5WC30	RBSD_BACSK	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD ABC3547	Bacillus clausii (strain KSM-K16)	129
A2RJD5	RBSD_LACLM	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD llmg_0786	Lactococcus lactis subsp. cremoris (strain MG1363)	132
P37778	RMLD_SHIFL	reviewed	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rfbD SF2103 S2226	Shigella flexneri	299
D9TT09	SUCPP_THETC	reviewed	Sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329) (Sucrose 6'-phosphate phosphorylase) (SPP)	spp Tthe_1921	Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIB 9385 / NCA 3814) (Clostridium thermosaccharolyticum)	488
Q59787	SDH_RHOSH	reviewed	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) (Galactitol 2-dehydrogenase) (EC 1.1.1.16) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase)	polS smoS	Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)	256
Q8YBP2	NANEK_BRUME	reviewed	Bifunctional enzyme NanE/NanK [Includes: Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)]	nanEK BMEII0857	Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094)	518
Q3SWW9	PP1B_BOVIN	reviewed	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Bos taurus (Bovine)	327
B0YEH9	RGLA_ASPFC	reviewed	Probable rhamnogalacturonate lyase A (EC 4.2.2.23)	rglA AFUB_099240	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	528
A1D9P9	RGLA_NEOFI	reviewed	Probable rhamnogalacturonate lyase A (EC 4.2.2.23)	rglA NFIA_029620	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	528
Q83PJ1	RBSD_SHIFL	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD SF3829 S3939	Shigella flexneri	139
Q99WV6	RBSD_STAAM	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD SAV0269	Staphylococcus aureus (strain Mu50 / ATCC 700699)	134
P37351	RPIB_ECOLI	reviewed	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	rpiB yjcA b4090 JW4051	Escherichia coli (strain K12)	149
O57947	R15PI_PYRHO	reviewed	Ribose 1,5-bisphosphate isomerase (R15P isomerase) (R15Pi) (EC 5.3.1.29) (Ribulose 1,5-bisphosphate synthase) (RuBP synthase)	PH0208	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)	324
P9WKD7	RPIB_MYCTU	reviewed	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	rpiB Rv2465c MTV008.21c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	162
E9AD19	RBSK_LEIMA	reviewed	Ribokinase (RK) (EC 2.7.1.15)	LMJF_27_0420	Leishmania major	329
Q3B7M9	PYGB_BOVIN	reviewed	Glycogen phosphorylase, brain form (EC 2.4.1.1)	PYGB	Bos taurus (Bovine)	843
Q8ESX3	RHAM_OCEIH	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM OB0493	Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831)	104
A7FN85	RHAM_YERP3	reviewed	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM YpsIP31758_3759	Yersinia pseudotuberculosis serotype O:1b (strain IP 31758)	104
Q4WGL5	SUN1_ASPFU	reviewed	Secreted beta-glucosidase sun1 (EC 3.2.1.-)	sun1 AFUA_7G05450	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	414
B6EKH2	RBSD_ALISL	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD VSAL_I1372	Aliivibrio salmonicida (strain LFI1238) (Vibrio salmonicida (strain LFI1238))	139
B9J4V7	RBSD_BACCQ	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD BCQ_0734	Bacillus cereus (strain Q1)	131
Q65E56	RBSD_BACLD	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD BLi03842 BL02440	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / NBRC 12200 / NCIMB 9375 / NRRL NRS-1264 / Gibson 46)	131
Q7NTN5	RBSD_CHRVO	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD CV_3019	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	132
B7MGG8	RBSD_ECO45	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD ECS88_4170	Escherichia coli O45:K1 (strain S88 / ExPEC)	139
B5XZK8	RBSD_KLEP3	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD KPK_5528	Klebsiella pneumoniae (strain 342)	139
Q043F6	RBSD_LACGA	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD LGAS_1041	Lactobacillus gasseri (strain ATCC 33323 / DSM 20243 / JCM 1131 / NCIMB 11718 / AM63)	131
Q9SVE6	RHS17_ARATH	reviewed	Protein ROOT HAIR SPECIFIC 17 (EC 2.4.1.-) (O-fucosyltransferase 32) (O-FucT-32) (O-fucosyltransferase family protein)	RHS17 OFUT32 At4g38390 F22I13.160	Arabidopsis thaliana (Mouse-ear cress)	551
Q1AXG1	RBSD1_RUBXD	reviewed	D-ribose pyranase 1 (EC 5.4.99.62)	rbsD1 Rxyl_0950	Rubrobacter xylanophilus (strain DSM 9941 / NBRC 16129)	129
B7NR51	RBSD_ECO7I	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD ECIAI39_4353	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	139
Q8FBS4	RBSD_ECOL6	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD c4676	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	139
P9WH09	RMLD_MYCTU	reviewed	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133) (dTDP-4-keto-L-rhamnose reductase) (dTDP-6-deoxy-L-lyxo-4-hexulose reductase) (dTDP-6-deoxy-L-mannose dehydrogenase) (dTDP-L-rhamnose synthase)	rmlD Rv3266c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	304
B2A2D7	RBSD_NATTJ	reviewed	D-ribose pyranase (EC 5.4.99.62)	rbsD Nther_2688	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	135
D4AM57	SUN41_ARTBC	reviewed	Probable secreted beta-glucosidase ARB_04747 (EC 3.2.1.-)	ARB_04747	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)	449
Q2PGY1	XYNA_PENCI	reviewed	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xynA	Penicillium citrinum	217
Q65PY0	XYLA_MANSM	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA MS2373	Mannheimia succiniciproducens (strain MBEL55E)	437
A6VWH1	XYLA_MARMS	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA Mmwyl1_1876	Marinomonas sp. (strain MWYL1)	439
Q3KDW0	XYLA_PSEPF	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA Pfl01_2303	Pseudomonas fluorescens (strain Pf0-1)	438
Q4ZSF5	XYLA_PSEU2	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA Psyr_2883	Pseudomonas syringae pv. syringae (strain B728a)	438
Q3IYM4	XYLA_RHOS4	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA RHOS4_27920 RSP_1176	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	433
Q9C0U6	XKS1_SCHPO	reviewed	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	xks1 SPCPJ732.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	555
Q3YVV0	XYLA_SHISS	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA SSON_3820	Shigella sonnei (strain Ss046)	440
Q5ASE0	XKS1_EMENI	reviewed	Probable D-xylulose kinase A (Xylulokinase A) (EC 2.7.1.17)	xkiA AN8790	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	581
O31411	SACC_BACL7	reviewed	Levanase (EC 3.2.1.65) (2,6-beta-D-fructan fructanohydrolase) (Endo-levanase) (Fragment)		Bacillus sp. (strain L7)	921
Q8A1G1	SUSC_BACTN	reviewed	TonB-dependent receptor SusC (Starch-utilization system protein C)	susC BT_3702	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482)	1003
Q0J8G4	SCRK2_ORYSJ	reviewed	Fructokinase-2 (EC 2.7.1.4) (Fructokinase II) (OsFKII)	FRK2 FKII Os08g0113100 LOC_Os08g02120 OsJ_024778 P0498H04.29	Oryza sativa subsp. japonica (Rice)	336
A9N512	ULAD_SALPB	reviewed	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD SPAB_05520	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	216
Q3YUF2	ULAD_SHISS	reviewed	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	ulaD SSON_4378	Shigella sonnei (strain Ss046)	216
B7NTQ4	ULAF_ECO7I	reviewed	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)	ulaF ECIAI39_4663	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	228
B0XNR0	XYL1_ASPFC	reviewed	Probable NAD(P)H-dependent D-xylose reductase xyl1 (XR) (EC 1.1.1.307)	xyl1 AFUB_005160	Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163) (Aspergillus fumigatus)	315
Q5PJ61	ULAF_SALPA	reviewed	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)	ulaF SPA4205	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	228
F4J6T7	XYL2_ARATH	reviewed	Putative alpha-xylosidase 2 (EC 3.2.1.177)	XYL2 At3g45940 F16L2.150	Arabidopsis thaliana (Mouse-ear cress)	868
Q83P26	ULAF_SHIFL	reviewed	L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase)	ulaF SF4353 S4623	Shigella flexneri	228
Q4WAU7	XYL2_ASPFU	reviewed	Probable D-xylulose reductase A (EC 1.1.1.9) (Xylitol dehydrogenase A)	xdhA AFUA_7G02550	Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) (Aspergillus fumigatus)	358
Q4QLI2	XYLA_HAEI8	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA NTHI1276	Haemophilus influenzae (strain 86-028NP)	439
Q57EI4	XYLA_BRUAB	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA BruAb1_0569	Brucella abortus biovar 1 (strain 9-941)	435
A5UIN7	XYLA_HAEIG	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA CGSHiGG_09215	Haemophilus influenzae (strain PittGG)	439
A1DJ52	XYNA_NEOFI	reviewed	Probable endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xlnA NFIA_000850	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	228
P48789	XYNA_PRERU	reviewed	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	xynA	Prevotella ruminicola (Bacteroides ruminicola)	369
B2JFE9	XYLA_PARP8	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA Bphy_2342	Paraburkholderia phymatum (strain DSM 17167 / CIP 108236 / LMG 21445 / STM815) (Burkholderia phymatum)	441
Q9P8J1	XYNA_TALPU	reviewed	Endo-1,4-beta-xylanase A (Xylanase A) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase A)	XynA	Talaromyces purpureogenus (Soft rot fungus) (Penicillium purpureogenum)	329
Q7N4P7	XYLA_PHOLL	reviewed	Xylose isomerase (EC 5.3.1.5)	xylA plu2275	Photorhabdus luminescens subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	439
A1CU59	XYNB_ASPCL	reviewed	Probable endo-1,4-beta-xylanase B (Xylanase B) (EC 3.2.1.8) (1,4-beta-D-xylan xylanohydrolase B) (Endo-1,4-beta-xylanase G1) (Xylanase G1)	xlnB xynB xynG1 ACLA_085410	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1)	221
