Entry	Entry name	Status	Protein names	Gene names	Organism	Length
C1AQ52	UPPP_MYCBT	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP JTY_2147	Mycobacterium bovis (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019)	276
B3ELU5	UPPP_CHLPB	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Cphamn1_1869	Chlorobium phaeobacteroides (strain BS1)	282
Q8FTC9	UPPP_COREF	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk CE1640	Corynebacterium efficiens (strain DSM 44549 / YS-314 / AJ 12310 / JCM 11189 / NBRC 100395)	293
Q0RJJ1	UPPP2_FRAAA	reviewed	Undecaprenyl-diphosphatase 2 (EC 3.6.1.27) (Bacitracin resistance protein 2) (Undecaprenyl pyrophosphate phosphatase 2)	uppP2 FRAAL3678	Frankia alni (strain ACN14a)	343
Q15X16	UPPP_PSEA6	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Patl_1046	Pseudoalteromonas atlantica (strain T6c / ATCC BAA-1087)	266
Q81V21	UPPP3_BACAN	reviewed	Undecaprenyl-diphosphatase 3 (EC 3.6.1.27) (Bacitracin resistance protein 3) (Undecaprenyl pyrophosphate phosphatase 3)	uppP3 bacA-3 bacA3 upk3 BA_0683 GBAA_0683 BAS0649	Bacillus anthracis	270
Q06240	VANS_ENTFC	reviewed	Sensor protein VanS (EC 2.7.13.3) (Vancomycin histidine protein kinase) (Vancomycin resistance protein VanS)	vanS	Enterococcus faecium (Streptococcus faecium)	384
Q2S5P8	UPPP_SALRD	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SRU_0337	Salinibacter ruber (strain DSM 13855 / M31)	270
B0TIP2	UPPP_SHEHH	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Shal_1013	Shewanella halifaxensis (strain HAW-EB4)	266
C1CCM1	UPPP_STRZJ	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SPJ_0442	Streptococcus pneumoniae (strain JJA)	281
P02557	TBB_YEAST	reviewed	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	457
P54427	YBXI_BACSU	reviewed	Probable beta-lactamase YbxI (EC 3.5.2.6)	ybxI ybdS BSU02090	Bacillus subtilis (strain 168)	267
A1JQW4	UPPP_YERE8	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA YE3678	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	272
D0K8E2	TCAA_STAAD	reviewed	Membrane-associated protein TcaA	tcaA SAAV_2421	Staphylococcus aureus (strain ED98)	460
B8ZLV4	UPPP_STRPJ	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SPN23F04300	Streptococcus pneumoniae (strain ATCC 700669 / Spain 23F-1)	281
Q5M1R0	UPPP_STRT1	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA str0160	Streptococcus thermophilus (strain CNRZ 1066)	288
Q55684	UPPP_SYNY3	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk sll0210	Synechocystis sp. (strain PCC 6803 / Kazusa)	326
B7IFS1	UPPP_THEAB	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP THA_444	Thermosipho africanus (strain TCF52B)	248
B1LC41	UPPP_THESQ	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP TRQ2_0034	Thermotoga sp. (strain RQ2)	237
Q478U2	UPPP_DECAR	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Daro_3911	Dechloromonas aromatica (strain RCB)	274
P25051	VANA_ENTFC	reviewed	Vancomycin/teicoplanin A-type resistance protein VanA (EC 6.1.2.1) (D-alanine--D-lactate ligase) (VanA ligase)	vanA	Enterococcus faecium (Streptococcus faecium)	343
B7VIW0	UPPP_VIBTL	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP VS_0406	Vibrio tasmaniensis (strain LGP32) (Vibrio splendidus (strain Mel32))	267
B4T675	UPPP_SALNS	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SNSL254_A3465	Salmonella newport (strain SL254)	273
B5BG16	UPPP_SALPK	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SSPA2869	Salmonella paratyphi A (strain AKU_12601)	273
Q5LLZ3	UPPP_RUEPO	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SPO3771	Ruegeria pomeroyi (strain ATCC 700808 / DSM 15171 / DSS-3) (Silicibacter pomeroyi)	267
Q49VN0	UPPP_STAS1	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SSP2035	Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41)	291
Q48VA9	UPPP_STRPM	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA M28_Spy0233	Streptococcus pyogenes serotype M28 (strain MGAS6180)	279
O07550	YHEI_BACSU	reviewed	Probable multidrug resistance ABC transporter ATP-binding/permease protein YheI (EC 3.6.3.-)	yheI BSU09710	Bacillus subtilis (strain 168)	585
Q8PQW6	UPPP_XANAC	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk XAC0203	Xanthomonas axonopodis pv. citri (strain 306)	265
Q3IYQ0	UPPP_RHOS4	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA RHOS4_27660 RSP_1150	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	268
Q1GR76	UPPP_SPHAL	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Sala_2137	Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256) (Sphingomonas alaskensis)	266
Q47745	VANS_ENTFA	reviewed	Sensor protein VanSB (EC 2.7.13.3) (Vancomycin B-type resistance protein VanSB) (Vancomycin histidine protein kinase)	vanSB EF_2298	Enterococcus faecalis (strain ATCC 700802 / V583)	447
Q10VH5	UPPP_TRIEI	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Tery_4798	Trichodesmium erythraeum (strain IMS101)	312
A1WK80	UPPP_VEREI	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Veis_2289	Verminephrobacter eiseniae (strain EF01-2)	274
A6WKK8	UPPP_SHEB8	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Shew185_1196	Shewanella baltica (strain OS185)	266
Q0HG46	UPPP_SHESM	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Shewmr4_2900	Shewanella sp. (strain MR-4)	266
A4W3V2	UPPP_STRS2	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SSU98_1883	Streptococcus suis (strain 98HAH33)	278
Q06893	VANB_ENTFA	reviewed	Vancomycin B-type resistance protein VanB (EC 6.1.2.1) (D-alanine--D-lactate ligase) (VanB ligase)	vanB vanB2 EF_2294	Enterococcus faecalis (strain ATCC 700802 / V583)	342
Q2NXJ3	UPPP_XANOM	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP XOO4229	Xanthomonas oryzae pv. oryzae (strain MAFF 311018)	265
A4THT4	UPPP_YERPP	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP YPDSF_0433	Yersinia pestis (strain Pestoides F)	272
B1KHE6	UPPP_SHEWM	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Swoo_1161	Shewanella woodyi (strain ATCC 51908 / MS32)	266
A7WZF5	UPPP_STAA1	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SAHV_0680	Staphylococcus aureus (strain Mu3 / ATCC 700698)	291
A9R7E0	UPPP_YERPG	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP YpAngola_A0297	Yersinia pestis bv. Antiqua (strain Angola)	272
A3QBM7	UPPP_SHELP	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Shew_1004	Shewanella loihica (strain ATCC BAA-1088 / PV-4)	266
Q0HSD9	UPPP_SHESR	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Shewmr7_2982	Shewanella sp. (strain MR-7)	266
Q47NU8	UPPP_THEFY	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Tfu_1838	Thermobifida fusca (strain YX)	292
Q47749	VANX_ENTFA	reviewed	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22) (Vancomycin B-type resistance protein VanXB)	vanXB vanX EF_2293	Enterococcus faecalis (strain ATCC 700802 / V583)	202
Q07UC1	UPPP_RHOP5	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP RPE_0504	Rhodopseudomonas palustris (strain BisA53)	268
P9WFR9	TYSY_MYCTU	reviewed	Thymidylate synthase ThyA (TS) (TSase) (EC 2.1.1.45)	thyA Rv2764c MTV002.29c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	263
P52393	TSNR_STRLU	reviewed	23S rRNA (adenosine(1067)-2'-O)-methyltransferase (EC 2.1.1.230) (23S rRNA [AM1067] 2'-O-methyltransferase) (23S rRNA methylase) (Thiostrepton-resistance methylase) (rRNA (adenosine-2'-O)-methyltransferase)	tsnR	Streptomyces laurentii	270
P67389	UPPP_SALTI	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk STY3384 t3125	Salmonella typhi	273
B4TI56	UPPP_SALHS	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP SeHA_C3459	Salmonella heidelberg (strain SL476)	273
A8YZV4	UPPP_STAAT	reviewed	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP USA300HOU_0706	Staphylococcus aureus (strain USA300 / TCH1516)	291
A0QTT1	WHIB7_MYCS2	reviewed	Transcriptional regulator WhiB7	whiB7 MSMEG_1953 MSMEI_1910	Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)	103
P9WI99	Y3168_MYCTU	reviewed	Putative aminoglycoside phosphotransferase (EC 2.7.1.-) (Putative aminoglycoside antibiotics resistance enzyme)	Rv3168	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	378
P28018	BLA1_BACMY	reviewed	Beta-lactamase 1 (EC 3.5.2.6) (Beta-lactamase I) (Penicillinase)	blaCI	Bacillus mycoides	306
P0A9Z8	BLA2_KLEPN	reviewed	Beta-lactamase SHV-2 (EC 3.5.2.6) (SHV-2A)	bla shv2	Klebsiella pneumoniae	286
Q9K303	BLAB3_ELIME	reviewed	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Carbapenem-hydrolyzing beta-lactamase BlaB-3) (CHbetaL-3) (Class B carbapenemase BlaB-3) (Metallo-beta-lactamase type II)	blaB3 blaB	Elizabethkingia meningoseptica (Chryseobacterium meningosepticum)	249
P39824	BLAC_BACSU	reviewed	Beta-lactamase (EC 3.5.2.6) (Penicillinase)	penP BSU18800	Bacillus subtilis (strain 168)	306
P42333	BCRB_BACLI	reviewed	Bacitracin transport permease protein BCRB	bcrB	Bacillus licheniformis	208
A6V1P1	ARNC_PSEA7	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC PSPA7_1592	Pseudomonas aeruginosa (strain PA7)	339
P17493	BLE_STRHI	reviewed	Bleomycin resistance protein (BRP) (Phleomycin resistance protein)	ble	Streptoalloteichus hindustanus	124
C4ZU97	ARNA_ECOBW	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA BWG_2028	Escherichia coli (strain K12 / MC4100 / BW2952)	660
P0DPR4	ABAQ_ACIBT	reviewed	Quinolone resistance transporter	abaQ AUO97_17040	Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377)	434
P18150	APHE_STRGR	reviewed	Streptomycin 3''-kinase (EC 2.7.1.87) (Streptomycin 3''-phosphotransferase) (Streptomycin 6-kinase) (Streptomycin 6-phosphotransferase)	aphE	Streptomyces griseus	272
B4SYX1	ARNA_SALNS	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SNSL254_A2484	Salmonella newport (strain SL254)	660
C0Q069	ARNA_SALPC	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SPC_1412	Salmonella paratyphi C (strain RKS4594)	660
O34847	ACCA_BACSU	reviewed	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BSU29200	Bacillus subtilis (strain 168)	325
Q06778	BLO11_PSEAI	reviewed	Beta-lactamase OXA-11 (EC 3.5.2.6)	bla oxa11	Pseudomonas aeruginosa	266
Q51574	BLO15_PSEAI	reviewed	Beta-lactamase OXA-15 (EC 3.5.2.6)	bla oxa15	Pseudomonas aeruginosa	275
Q8Z540	ARNA_SALTI	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA STY2529 t0564	Salmonella typhi	660
P13661	BLO1_ECOLX	reviewed	Beta-lactamase OXA-1 (EC 3.5.2.6) (Penicillinase)	bla oxa1	Escherichia coli	276
O52325	ARNA_SALTY	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA pbgP3 pmrI STM2299	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	660
A8GDR7	ARNA_SERP5	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA Spro_2156	Serratia proteamaculans (strain 568)	660
A8FRR2	ARNA_SHESH	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA Ssed_0924	Shewanella sediminis (strain HAW-EB3)	660
A1JPN5	ARNA_YERE8	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA YE2190	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	687
A0KGY8	ARNB_AERHH	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB AHA_0992	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	378
P33449	BMR1_BACSU	reviewed	Multidrug resistance protein 1 (Multidrug-efflux transporter 1)	bmr bmr1 BSU24010	Bacillus subtilis (strain 168)	389
Q01166	BLAC_YEREN	reviewed	Beta-lactamase (EC 3.5.2.6) (Penicillinase)	blaA	Yersinia enterocolitica	294
Q4L605	AACA_STAHJ	reviewed	Bifunctional AAC/APH [Includes: 6'-aminoglycoside N-acetyltransferase (EC 2.3.1.-) (AAC(6')); Aminoglycoside 2''-phosphotransferase (2''-aminoglycoside phosphotransferase) (EC 2.7.1.190) (APH(2''))]	aacA-aphD SH1611	Staphylococcus haemolyticus (strain JCSC1435)	479
Q31YK4	ARNB_SHIBS	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SBO_2290	Shigella boydii serotype 4 (strain Sb227)	379
Q02R24	ARNC_PSEAB	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC PA14_18360	Pseudomonas aeruginosa (strain UCBPP-PA14)	339
Q3YZV2	ARNC_SHISS	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC SSON_2315	Shigella sonnei (strain Ss046)	322
Q3KCC0	ARND_PSEPF	reviewed	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD Pfl01_2844	Pseudomonas fluorescens (strain Pf0-1)	294
A4SQW9	ARNA_AERS4	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA ASA_3309	Aeromonas salmonicida (strain A449)	663
B1LLK9	ARNA_ECOSM	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA EcSMS35_2409	Escherichia coli (strain SMS-3-5 / SECEC)	660
B4TBG6	ARNA_SALHS	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SeHA_C2539	Salmonella heidelberg (strain SL476)	660
B5R272	ARNA_SALEP	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SEN2281	Salmonella enteritidis PT4 (strain P125109)	660
A9N5B2	ARNA_SALPB	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SPAB_00682	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	660
Q5PNA6	ARNA_SALPA	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SPA0564	Salmonella paratyphi A (strain ATCC 9150 / SARB42)	660
Q9R976	BLO19_PSEAI	reviewed	Beta-lactamase OXA-19 (EC 3.5.2.6) (Penicillinase)	bla oxa19	Pseudomonas aeruginosa	266
O07293	BLO18_PSEAI	reviewed	Beta-lactamase OXA-18 (EC 3.5.2.6) (Penicillinase)	bla oxa18	Pseudomonas aeruginosa	275
P22391	BLO1_KLEOX	reviewed	Beta-lactamase OXY-1 (EC 3.5.2.6) (Penicillinase)	bla	Klebsiella oxytoca	291
P0A1V9	BLO2_ECOLX	reviewed	Beta-lactamase OXA-2 (EC 3.5.2.6) (Penicillinase)	bla oxa2	Escherichia coli	275
P0A3M3	BLO9_KLEPN	reviewed	Beta-lactamase OXA-9 (EC 3.5.2.6) (Oxacillinase) (Penicillinase)	bla oxa9	Klebsiella pneumoniae	274
B2TW38	ARNA_SHIB3	reviewed	Putative bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA SbBS512_E2631	Shigella boydii serotype 18 (strain CDC 3083-94 / BS512)	526
B7UFR5	ARNB_ECO27	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB E2348C_2397	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	379
B5XTK7	ARNB_KLEP3	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB KPK_0266	Klebsiella pneumoniae (strain 342)	379
O06967	BMRA_BACSU	reviewed	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA (EC 3.6.3.-)	bmrA yvcC BSU34820	Bacillus subtilis (strain 168)	589
B5R270	ARNB_SALEP	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB SEN2279	Salmonella enteritidis PT4 (strain P125109)	379
P28873	BMRP_CANAX	reviewed	Benomyl/methotrexate resistance protein	MDR1 BMR	Candida albicans (Yeast)	564
